"sb" "ft" "test" "value"
"1" "fBodyAcc-std()-X" "WALKING_DOWNSTAIRS" "0.0243308391387755"
"1" "fBodyAcc-std()-X" "WALKING_UPSTAIRS" "-0.337428188679245"
"1" "fBodyAcc-std()-Y" "LAYING" "-0.8336255561"
"1" "fBodyAcc-std()-Y" "SITTING" "-0.917275006382979"
"1" "fBodyAcc-std()-Y" "STANDING" "-0.972293102075472"
"1" "fBodyAcc-std()-Y" "WALKING" "0.056040006846"
"1" "fBodyAcc-std()-Y" "WALKING_DOWNSTAIRS" "-0.112963739953061"
"1" "fBodyAcc-std()-Y" "WALKING_UPSTAIRS" "0.0217695106566038"
"1" "fBodyAcc-std()-Z" "LAYING" "-0.81289155944"
"1" "fBodyAcc-std()-Z" "SITTING" "-0.934469558085106"
"1" "fBodyAcc-std()-Z" "STANDING" "-0.977937259622642"
"1" "fBodyAcc-std()-Z" "WALKING" "-0.279686751494737"
"1" "fBodyAcc-std()-Z" "WALKING_DOWNSTAIRS" "-0.297927894693878"
"1" "fBodyAcc-std()-Z" "WALKING_UPSTAIRS" "0.0859565543849057"
"1" "fBodyAccJerk-mean()-X" "LAYING" "-0.9570738838"
"1" "fBodyAccJerk-mean()-X" "SITTING" "-0.986597022553191"
"1" "fBodyAccJerk-mean()-X" "STANDING" "-0.994630797358491"
"1" "fBodyAccJerk-mean()-X" "WALKING" "-0.170546964549579"
"1" "fBodyAccJerk-mean()-X" "WALKING_DOWNSTAIRS" "-0.0276638676122449"
"1" "fBodyAccJerk-mean()-X" "WALKING_UPSTAIRS" "-0.479875245660377"
"1" "fBodyAccJerk-mean()-Y" "LAYING" "-0.9224626098"
"1" "fBodyAccJerk-mean()-Y" "SITTING" "-0.981579467021277"
"1" "fBodyAccJerk-mean()-Y" "STANDING" "-0.985418704528302"
"1" "fBodyAccJerk-mean()-Y" "WALKING" "-0.0352255241130632"
"1" "fBodyAccJerk-mean()-Y" "WALKING_DOWNSTAIRS" "-0.12866715764898"
"1" "fBodyAccJerk-mean()-Y" "WALKING_UPSTAIRS" "-0.41344458754717"
"1" "fBodyAccJerk-mean()-Z" "LAYING" "-0.9480609042"
"1" "fBodyAccJerk-mean()-Z" "SITTING" "-0.986053092340425"
"1" "fBodyAccJerk-mean()-Z" "STANDING" "-0.990752166037736"
"1" "fBodyAccJerk-mean()-Z" "WALKING" "-0.468999224631579"
"1" "fBodyAccJerk-mean()-Z" "WALKING_DOWNSTAIRS" "-0.288334735714286"
"1" "fBodyAccJerk-mean()-Z" "WALKING_UPSTAIRS" "-0.685474353962264"
"1" "fBodyAccJerk-meanFreq()-X" "LAYING" "0.132419092398"
"1" "fBodyAccJerk-meanFreq()-X" "SITTING" "0.256610823568085"
"1" "fBodyAccJerk-meanFreq()-X" "STANDING" "0.314182940150943"
"1" "fBodyAccJerk-meanFreq()-X" "WALKING" "-0.209261973376842"
"1" "fBodyAccJerk-meanFreq()-X" "WALKING_DOWNSTAIRS" "-0.253164344918367"
"1" "fBodyAccJerk-meanFreq()-X" "WALKING_UPSTAIRS" "-0.377023128301887"
"1" "fBodyAccJerk-meanFreq()-Y" "LAYING" "0.024513618956"
"1" "fBodyAccJerk-meanFreq()-Y" "SITTING" "0.0475437839595745"
"1" "fBodyAccJerk-meanFreq()-Y" "STANDING" "0.0391618954943396"
"1" "fBodyAccJerk-meanFreq()-Y" "WALKING" "-0.386237143210526"
"1" "fBodyAccJerk-meanFreq()-Y" "WALKING_DOWNSTAIRS" "-0.33758970122449"
"1" "fBodyAccJerk-meanFreq()-Y" "WALKING_UPSTAIRS" "-0.509495531698113"
"1" "fBodyAccJerk-meanFreq()-Z" "LAYING" "0.02438794528"
"1" "fBodyAccJerk-meanFreq()-Z" "SITTING" "0.0923920032553192"
"1" "fBodyAccJerk-meanFreq()-Z" "STANDING" "0.138581478749057"
"1" "fBodyAccJerk-meanFreq()-Z" "WALKING" "-0.185530281244211"
"1" "fBodyAccJerk-meanFreq()-Z" "WALKING_DOWNSTAIRS" "0.00937223889183673"
"1" "fBodyAccJerk-meanFreq()-Z" "WALKING_UPSTAIRS" "-0.551104284150943"
"1" "fBodyAccJerk-std()-X" "LAYING" "-0.9641607086"
"1" "fBodyAccJerk-std()-X" "SITTING" "-0.987492994468085"
"1" "fBodyAccJerk-std()-X" "STANDING" "-0.995073759245283"
"1" "fBodyAccJerk-std()-X" "WALKING" "-0.133586606326316"
"1" "fBodyAccJerk-std()-X" "WALKING_DOWNSTAIRS" "-0.0863278966402041"
"1" "fBodyAccJerk-std()-X" "WALKING_UPSTAIRS" "-0.461907025849057"
"1" "fBodyAccJerk-std()-Y" "LAYING" "-0.9322178704"
"1" "fBodyAccJerk-std()-Y" "SITTING" "-0.982513909574468"
"1" "fBodyAccJerk-std()-Y" "STANDING" "-0.987018226792453"
"1" "fBodyAccJerk-std()-Y" "WALKING" "0.106739857136"
"1" "fBodyAccJerk-std()-Y" "WALKING_DOWNSTAIRS" "-0.134580008877551"
"1" "fBodyAccJerk-std()-Y" "WALKING_UPSTAIRS" "-0.381777065283019"
"1" "fBodyAccJerk-std()-Z" "LAYING" "-0.9605869872"
"1" "fBodyAccJerk-std()-Z" "SITTING" "-0.988339184893617"
"1" "fBodyAccJerk-std()-Z" "STANDING" "-0.992349818113208"
"1" "fBodyAccJerk-std()-Z" "WALKING" "-0.534713440421053"
"1" "fBodyAccJerk-std()-Z" "WALKING_DOWNSTAIRS" "-0.401721464285714"
"1" "fBodyAccJerk-std()-Z" "WALKING_UPSTAIRS" "-0.726040200754717"
"1" "fBodyAccMag-mean()" "LAYING" "-0.8617676481"
"1" "fBodyAccMag-mean()" "SITTING" "-0.947782922553192"
"1" "fBodyAccMag-mean()" "STANDING" "-0.985356361132075"
"1" "fBodyAccMag-mean()" "WALKING" "-0.128623450629474"
"1" "fBodyAccMag-mean()" "WALKING_DOWNSTAIRS" "0.0965845343040816"
"1" "fBodyAccMag-mean()" "WALKING_UPSTAIRS" "-0.352395944716981"
"1" "fBodyAccMag-meanFreq()" "LAYING" "0.08640856294"
"1" "fBodyAccMag-meanFreq()" "SITTING" "0.236655011680851"
"1" "fBodyAccMag-meanFreq()" "STANDING" "0.284555290773585"
"1" "fBodyAccMag-meanFreq()" "WALKING" "0.1906437244"
"1" "fBodyAccMag-meanFreq()" "WALKING_DOWNSTAIRS" "0.119187142767959"
"1" "fBodyAccMag-meanFreq()" "WALKING_UPSTAIRS" "-0.0977433496415094"
"1" "fBodyAccMag-std()" "LAYING" "-0.7983009404"
"1" "fBodyAccMag-std()" "SITTING" "-0.928444801702128"
"1" "fBodyAccMag-std()" "STANDING" "-0.982313804716981"
"1" "fBodyAccMag-std()" "WALKING" "-0.398032586842105"
"1" "fBodyAccMag-std()" "WALKING_DOWNSTAIRS" "-0.186530301073469"
"1" "fBodyAccMag-std()" "WALKING_UPSTAIRS" "-0.416260101509434"
"1" "fBodyBodyAccJerkMag-mean()" "LAYING" "-0.9333003608"
"1" "fBodyBodyAccJerkMag-mean()" "SITTING" "-0.985262126808511"
"1" "fBodyBodyAccJerkMag-mean()" "STANDING" "-0.99254247754717"
"1" "fBodyBodyAccJerkMag-mean()" "WALKING" "-0.0571194000343158"
"1" "fBodyBodyAccJerkMag-mean()" "WALKING_DOWNSTAIRS" "0.0262184949326531"
"1" "fBodyBodyAccJerkMag-mean()" "WALKING_UPSTAIRS" "-0.44265216245283"
"1" "fBodyBodyAccJerkMag-meanFreq()" "LAYING" "0.26639115416"
"1" "fBodyBodyAccJerkMag-meanFreq()" "SITTING" "0.351852201957447"
"1" "fBodyBodyAccJerkMag-meanFreq()" "STANDING" "0.422220102264151"
"1" "fBodyBodyAccJerkMag-meanFreq()" "WALKING" "0.0938221807027368"
"1" "fBodyBodyAccJerkMag-meanFreq()" "WALKING_DOWNSTAIRS" "0.0764915474326531"
"1" "fBodyBodyAccJerkMag-meanFreq()" "WALKING_UPSTAIRS" "0.085352409154717"
"1" "fBodyBodyAccJerkMag-std()" "LAYING" "-0.9218039756"
"1" "fBodyBodyAccJerkMag-std()" "SITTING" "-0.981606177446808"
"1" "fBodyBodyAccJerkMag-std()" "STANDING" "-0.992536003396226"
"1" "fBodyBodyAccJerkMag-std()" "WALKING" "-0.103492403002105"
"1" "fBodyBodyAccJerkMag-std()" "WALKING_DOWNSTAIRS" "-0.104052260726531"
"1" "fBodyBodyAccJerkMag-std()" "WALKING_UPSTAIRS" "-0.533059853773585"
"1" "fBodyBodyGyroJerkMag-mean()" "LAYING" "-0.9423669466"
"1" "fBodyBodyGyroJerkMag-mean()" "SITTING" "-0.989797547234043"
"1" "fBodyBodyGyroJerkMag-mean()" "STANDING" "-0.994815376981132"
"1" "fBodyBodyGyroJerkMag-mean()" "WALKING" "-0.319308593778947"
"1" "fBodyBodyGyroJerkMag-mean()" "WALKING_DOWNSTAIRS" "-0.281963359177551"
"1" "fBodyBodyGyroJerkMag-mean()" "WALKING_UPSTAIRS" "-0.634665082075472"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "LAYING" "0.17648590708"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "SITTING" "0.184775928085106"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "STANDING" "0.334498734301887"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "WALKING" "0.190663448793684"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "WALKING_DOWNSTAIRS" "0.190000706165102"
"1" "fBodyBodyGyroJerkMag-meanFreq()" "WALKING_UPSTAIRS" "0.114277342454717"
"1" "fBodyBodyGyroJerkMag-std()" "LAYING" "-0.9326606676"
"1" "fBodyBodyGyroJerkMag-std()" "SITTING" "-0.987049617234043"
"1" "fBodyBodyGyroJerkMag-std()" "STANDING" "-0.994671123207547"
"1" "fBodyBodyGyroJerkMag-std()" "WALKING" "-0.381601911789474"
"1" "fBodyBodyGyroJerkMag-std()" "WALKING_DOWNSTAIRS" "-0.391919876612245"
"1" "fBodyBodyGyroJerkMag-std()" "WALKING_UPSTAIRS" "-0.693930521509434"
"1" "fBodyBodyGyroMag-mean()" "LAYING" "-0.8621901854"
"1" "fBodyBodyGyroMag-mean()" "SITTING" "-0.958435589361702"
"1" "fBodyBodyGyroMag-mean()" "STANDING" "-0.984617623396226"
"1" "fBodyBodyGyroMag-mean()" "WALKING" "-0.199252568986316"
"1" "fBodyBodyGyroMag-mean()" "WALKING_DOWNSTAIRS" "-0.185720285744898"
"1" "fBodyBodyGyroMag-mean()" "WALKING_UPSTAIRS" "-0.325961457396226"
"1" "fBodyBodyGyroMag-meanFreq()" "LAYING" "-0.1397750127"
"1" "fBodyBodyGyroMag-meanFreq()" "SITTING" "-0.000262186717021277"
"1" "fBodyBodyGyroMag-meanFreq()" "STANDING" "-0.0286057725328302"
"1" "fBodyBodyGyroMag-meanFreq()" "WALKING" "0.268844367525895"
"1" "fBodyBodyGyroMag-meanFreq()" "WALKING_DOWNSTAIRS" "0.349613895469388"
"1" "fBodyBodyGyroMag-meanFreq()" "WALKING_UPSTAIRS" "-0.219303376110566"
"1" "fBodyBodyGyroMag-std()" "LAYING" "-0.82431943968"
"1" "fBodyBodyGyroMag-std()" "SITTING" "-0.932198374893617"
"1" "fBodyBodyGyroMag-std()" "STANDING" "-0.978466072075472"
"1" "fBodyBodyGyroMag-std()" "WALKING" "-0.321017953894737"
"1" "fBodyBodyGyroMag-std()" "WALKING_DOWNSTAIRS" "-0.398350390122449"
"1" "fBodyBodyGyroMag-std()" "WALKING_UPSTAIRS" "-0.182985518264151"
"1" "fBodyGyro-mean()-X" "LAYING" "-0.850249174586"
"1" "fBodyGyro-mean()-X" "SITTING" "-0.976161464042553"
"1" "fBodyGyro-mean()-X" "STANDING" "-0.986386786037736"
"1" "fBodyGyro-mean()-X" "WALKING" "-0.339032197115789"
"1" "fBodyGyro-mean()-X" "WALKING_DOWNSTAIRS" "-0.352449631363265"
"1" "fBodyGyro-mean()-X" "WALKING_UPSTAIRS" "-0.492611667924528"
"1" "fBodyGyro-mean()-Y" "LAYING" "-0.9521914948"
"1" "fBodyGyro-mean()-Y" "SITTING" "-0.975838585319149"
"1" "fBodyGyro-mean()-Y" "STANDING" "-0.988984455849057"
"1" "fBodyGyro-mean()-Y" "WALKING" "-0.103059416434737"
"1" "fBodyGyro-mean()-Y" "WALKING_DOWNSTAIRS" "-0.0557022524693878"
"1" "fBodyGyro-mean()-Y" "WALKING_UPSTAIRS" "-0.319474609056604"
"1" "fBodyGyro-mean()-Z" "LAYING" "-0.909302721"
"1" "fBodyGyro-mean()-Z" "SITTING" "-0.951315544468085"
"1" "fBodyGyro-mean()-Z" "STANDING" "-0.980773122830189"
"1" "fBodyGyro-mean()-Z" "WALKING" "-0.255940940315789"
"1" "fBodyGyro-mean()-Z" "WALKING_DOWNSTAIRS" "-0.0318694271979592"
"1" "fBodyGyro-mean()-Z" "WALKING_UPSTAIRS" "-0.453597213018868"
"1" "fBodyGyro-meanFreq()-X" "LAYING" "-0.003546795856"
"1" "fBodyGyro-meanFreq()-X" "SITTING" "0.189153021260851"
"1" "fBodyGyro-meanFreq()-X" "STANDING" "-0.120293020603774"
"1" "fBodyGyro-meanFreq()-X" "WALKING" "0.0147844986621053"
"1" "fBodyGyro-meanFreq()-X" "WALKING_DOWNSTAIRS" "-0.100453729040816"
"1" "fBodyGyro-meanFreq()-X" "WALKING_UPSTAIRS" "-0.187450247737736"
"1" "fBodyGyro-meanFreq()-Y" "LAYING" "-0.091529130882"
"1" "fBodyGyro-meanFreq()-Y" "SITTING" "0.0631270669787234"
"1" "fBodyGyro-meanFreq()-Y" "STANDING" "-0.0447191978169811"
"1" "fBodyGyro-meanFreq()-Y" "WALKING" "-0.0657746190010526"
"1" "fBodyGyro-meanFreq()-Y" "WALKING_DOWNSTAIRS" "0.0825511487183673"
"1" "fBodyGyro-meanFreq()-Y" "WALKING_UPSTAIRS" "-0.473574786603774"
"1" "fBodyGyro-meanFreq()-Z" "LAYING" "0.01045812566"
"1" "fBodyGyro-meanFreq()-Z" "SITTING" "-0.0297839207446809"
"1" "fBodyGyro-meanFreq()-Z" "STANDING" "0.100607635139623"
"1" "fBodyGyro-meanFreq()-Z" "WALKING" "0.00077332156431579"
"1" "fBodyGyro-meanFreq()-Z" "WALKING_DOWNSTAIRS" "-0.0756762067714286"
"1" "fBodyGyro-meanFreq()-Z" "WALKING_UPSTAIRS" "-0.133373904258491"
"1" "fBodyGyro-std()-X" "LAYING" "-0.8822964508"
"1" "fBodyGyro-std()-X" "SITTING" "-0.977904227021277"
"1" "fBodyGyro-std()-X" "STANDING" "-0.987497128679245"
"1" "fBodyGyro-std()-X" "WALKING" "-0.516691938736842"
"1" "fBodyGyro-std()-X" "WALKING_DOWNSTAIRS" "-0.495422486102041"
"1" "fBodyGyro-std()-X" "WALKING_UPSTAIRS" "-0.565892490754717"
"1" "fBodyGyro-std()-Y" "LAYING" "-0.9512320494"
"1" "fBodyGyro-std()-Y" "SITTING" "-0.962345042553192"
"1" "fBodyGyro-std()-Y" "STANDING" "-0.987107727735849"
"1" "fBodyGyro-std()-Y" "WALKING" "-0.0335081597884211"
"1" "fBodyGyro-std()-Y" "WALKING_DOWNSTAIRS" "-0.181414728657143"
"1" "fBodyGyro-std()-Y" "WALKING_UPSTAIRS" "0.151538905566038"
"1" "fBodyGyro-std()-Z" "LAYING" "-0.9165825082"
"1" "fBodyGyro-std()-Z" "SITTING" "-0.94391784106383"
"1" "fBodyGyro-std()-Z" "STANDING" "-0.98234533"
"1" "fBodyGyro-std()-Z" "WALKING" "-0.436562227473684"
"1" "fBodyGyro-std()-Z" "WALKING_DOWNSTAIRS" "-0.238443565306122"
"1" "fBodyGyro-std()-Z" "WALKING_UPSTAIRS" "-0.57170784"
"1" "tBodyAcc-mean()-X" "LAYING" "0.22159824394"
"1" "tBodyAcc-mean()-X" "SITTING" "0.261237565425532"
"1" "tBodyAcc-mean()-X" "STANDING" "0.278917629056604"
"1" "tBodyAcc-mean()-X" "WALKING" "0.277330758736842"
"1" "tBodyAcc-mean()-X" "WALKING_DOWNSTAIRS" "0.289188320408163"
"1" "tBodyAcc-mean()-X" "WALKING_UPSTAIRS" "0.255461689622641"
"1" "tBodyAcc-mean()-Y" "LAYING" "-0.0405139534294"
"1" "tBodyAcc-mean()-Y" "SITTING" "-0.00130828765170213"
"1" "tBodyAcc-mean()-Y" "STANDING" "-0.0161375901037736"
"1" "tBodyAcc-mean()-Y" "WALKING" "-0.0173838185273684"
"1" "tBodyAcc-mean()-Y" "WALKING_DOWNSTAIRS" "-0.00991850461020408"
"1" "tBodyAcc-mean()-Y" "WALKING_UPSTAIRS" "-0.0239531492643396"
"1" "tBodyAcc-mean()-Z" "LAYING" "-0.11320355358"
"1" "tBodyAcc-mean()-Z" "SITTING" "-0.104544182255319"
"1" "tBodyAcc-mean()-Z" "STANDING" "-0.110601817735849"
"1" "tBodyAcc-mean()-Z" "WALKING" "-0.111148103547368"
"1" "tBodyAcc-mean()-Z" "WALKING_DOWNSTAIRS" "-0.107566190908163"
"1" "tBodyAcc-mean()-Z" "WALKING_UPSTAIRS" "-0.0973020020943396"
"1" "tBodyAcc-std()-X" "LAYING" "-0.9280564692"
"1" "tBodyAcc-std()-X" "SITTING" "-0.977229008297872"
"1" "tBodyAcc-std()-X" "STANDING" "-0.995759901509434"
"1" "tBodyAcc-std()-X" "WALKING" "-0.283740258842105"
"1" "tBodyAcc-std()-X" "WALKING_DOWNSTAIRS" "0.0300353383483878"
"1" "tBodyAcc-std()-X" "WALKING_UPSTAIRS" "-0.35470802509434"
"1" "tBodyAcc-std()-Y" "LAYING" "-0.83682740562"
"1" "tBodyAcc-std()-Y" "SITTING" "-0.922618641914894"
"1" "tBodyAcc-std()-Y" "STANDING" "-0.973190056415094"
"1" "tBodyAcc-std()-Y" "WALKING" "0.114461336747368"
"1" "tBodyAcc-std()-Y" "WALKING_DOWNSTAIRS" "-0.0319359434489796"
"1" "tBodyAcc-std()-Y" "WALKING_UPSTAIRS" "-0.00232026501698113"
"1" "tBodyAcc-std()-Z" "LAYING" "-0.826061401628"
"1" "tBodyAcc-std()-Z" "SITTING" "-0.93958629106383"
"1" "tBodyAcc-std()-Z" "STANDING" "-0.979775876981132"
"1" "tBodyAcc-std()-Z" "WALKING" "-0.260027902210526"
"1" "tBodyAcc-std()-Z" "WALKING_DOWNSTAIRS" "-0.230434213204082"
"1" "tBodyAcc-std()-Z" "WALKING_UPSTAIRS" "-0.0194792388471698"
"1" "tBodyAccJerk-mean()-X" "LAYING" "0.0810865342"
"1" "tBodyAccJerk-mean()-X" "SITTING" "0.0774825199574468"
"1" "tBodyAccJerk-mean()-X" "STANDING" "0.0753766542264151"
"1" "tBodyAccJerk-mean()-X" "WALKING" "0.0740416333157895"
"1" "tBodyAccJerk-mean()-X" "WALKING_DOWNSTAIRS" "0.0541553164897959"
"1" "tBodyAccJerk-mean()-X" "WALKING_UPSTAIRS" "0.101372729922642"
"1" "tBodyAccJerk-mean()-Y" "LAYING" "0.0038382040088"
"1" "tBodyAccJerk-mean()-Y" "SITTING" "-0.000619102785106384"
"1" "tBodyAccJerk-mean()-Y" "STANDING" "0.00797573092830189"
"1" "tBodyAccJerk-mean()-Y" "WALKING" "0.0282721095884211"
"1" "tBodyAccJerk-mean()-Y" "WALKING_DOWNSTAIRS" "0.0296504490408163"
"1" "tBodyAccJerk-mean()-Y" "WALKING_UPSTAIRS" "0.0194863076188679"
"1" "tBodyAccJerk-mean()-Z" "LAYING" "0.010834236361"
"1" "tBodyAccJerk-mean()-Z" "SITTING" "-0.00336779235021277"
"1" "tBodyAccJerk-mean()-Z" "STANDING" "-0.00368524954709434"
"1" "tBodyAccJerk-mean()-Z" "WALKING" "-0.00416840617789474"
"1" "tBodyAccJerk-mean()-Z" "WALKING_DOWNSTAIRS" "-0.0109719730183673"
"1" "tBodyAccJerk-mean()-Z" "WALKING_UPSTAIRS" "-0.0455625449113208"
"1" "tBodyAccJerk-std()-X" "LAYING" "-0.958482112"
"1" "tBodyAccJerk-std()-X" "SITTING" "-0.986430711276596"
"1" "tBodyAccJerk-std()-X" "STANDING" "-0.994604542264151"
"1" "tBodyAccJerk-std()-X" "WALKING" "-0.113615602435789"
"1" "tBodyAccJerk-std()-X" "WALKING_DOWNSTAIRS" "-0.012283860544898"
"1" "tBodyAccJerk-std()-X" "WALKING_UPSTAIRS" "-0.446843887735849"
"1" "tBodyAccJerk-std()-Y" "LAYING" "-0.9241492736"
"1" "tBodyAccJerk-std()-Y" "SITTING" "-0.981371965319149"
"1" "tBodyAccJerk-std()-Y" "STANDING" "-0.98564873245283"
"1" "tBodyAccJerk-std()-Y" "WALKING" "0.0670025007684211"
"1" "tBodyAccJerk-std()-Y" "WALKING_DOWNSTAIRS" "-0.101601390640816"
"1" "tBodyAccJerk-std()-Y" "WALKING_UPSTAIRS" "-0.378274426037736"
"1" "tBodyAccJerk-std()-Z" "LAYING" "-0.9548551108"
"1" "tBodyAccJerk-std()-Z" "SITTING" "-0.987910804468085"
"1" "tBodyAccJerk-std()-Z" "STANDING" "-0.992251177358491"
"1" "tBodyAccJerk-std()-Z" "WALKING" "-0.502699788526316"
"1" "tBodyAccJerk-std()-Z" "WALKING_DOWNSTAIRS" "-0.345735032326531"
"1" "tBodyAccJerk-std()-Z" "WALKING_UPSTAIRS" "-0.706593530943396"
"1" "tBodyAccJerkMag-mean()" "LAYING" "-0.9543962646"
"1" "tBodyAccJerkMag-mean()" "SITTING" "-0.987364195531915"
"1" "tBodyAccJerkMag-mean()" "STANDING" "-0.992367790566038"
"1" "tBodyAccJerkMag-mean()" "WALKING" "-0.141428809031579"
"1" "tBodyAccJerkMag-mean()" "WALKING_DOWNSTAIRS" "-0.0894474807979592"
"1" "tBodyAccJerkMag-mean()" "WALKING_UPSTAIRS" "-0.466503446226415"
"1" "tBodyAccJerkMag-std()" "LAYING" "-0.9282456284"
"1" "tBodyAccJerkMag-std()" "SITTING" "-0.984120024042553"
"1" "tBodyAccJerkMag-std()" "STANDING" "-0.993096209433962"
"1" "tBodyAccJerkMag-std()" "WALKING" "-0.0744717500625263"
"1" "tBodyAccJerkMag-std()" "WALKING_DOWNSTAIRS" "-0.0257877197081633"
"1" "tBodyAccJerkMag-std()" "WALKING_UPSTAIRS" "-0.478991622075472"
"1" "tBodyAccMag-mean()" "LAYING" "-0.8419291525"
"1" "tBodyAccMag-mean()" "SITTING" "-0.948536786170213"
"1" "tBodyAccMag-mean()" "STANDING" "-0.984278207358491"
"1" "tBodyAccMag-mean()" "WALKING" "-0.136971176556842"
"1" "tBodyAccMag-mean()" "WALKING_DOWNSTAIRS" "0.0271882914106122"
"1" "tBodyAccMag-mean()" "WALKING_UPSTAIRS" "-0.129927630735849"
"1" "tBodyAccMag-std()" "LAYING" "-0.79514486386"
"1" "tBodyAccMag-std()" "SITTING" "-0.927078418723404"
"1" "tBodyAccMag-std()" "STANDING" "-0.981942928867925"
"1" "tBodyAccMag-std()" "WALKING" "-0.219688645631579"
"1" "tBodyAccMag-std()" "WALKING_DOWNSTAIRS" "0.0198843506265306"
"1" "tBodyAccMag-std()" "WALKING_UPSTAIRS" "-0.324970929245283"
"1" "tBodyGyro-mean()-X" "LAYING" "-0.016553093978"
"1" "tBodyGyro-mean()-X" "SITTING" "-0.045350056512766"
"1" "tBodyGyro-mean()-X" "STANDING" "-0.0239877347979245"
"1" "tBodyGyro-mean()-X" "WALKING" "-0.041830963526"
"1" "tBodyGyro-mean()-X" "WALKING_DOWNSTAIRS" "-0.0350781902989796"
"1" "tBodyGyro-mean()-X" "WALKING_UPSTAIRS" "0.050549379754717"
"1" "tBodyGyro-mean()-Y" "LAYING" "-0.064486124088"
"1" "tBodyGyro-mean()-Y" "SITTING" "-0.0919241549361702"
"1" "tBodyGyro-mean()-Y" "STANDING" "-0.0593972209811321"
"1" "tBodyGyro-mean()-Y" "WALKING" "-0.0695300462115789"
"1" "tBodyGyro-mean()-Y" "WALKING_DOWNSTAIRS" "-0.0909371290204082"
"1" "tBodyGyro-mean()-Y" "WALKING_UPSTAIRS" "-0.166170015088679"
"1" "tBodyGyro-mean()-Z" "LAYING" "0.14868943626"
"1" "tBodyGyro-mean()-Z" "SITTING" "0.0629313811914894"
"1" "tBodyGyro-mean()-Z" "STANDING" "0.074800751"
"1" "tBodyGyro-mean()-Z" "WALKING" "0.0849448173042105"
"1" "tBodyGyro-mean()-Z" "WALKING_DOWNSTAIRS" "0.0900850142030612"
"1" "tBodyGyro-mean()-Z" "WALKING_UPSTAIRS" "0.0583595463981132"
